src_ip,dst_ip,src_port,dst_port,protocol,app,domain,packets,bytes,start_ts,status,country
192.168.51.232,40.99.111.34,64755,443,TCP,Microsoft,,1,54,1772215243,FORWARDED,USA
20.192.44.82,192.168.51.232,443,60400,TCP,Microsoft,,1,60,1772215243,FORWARDED,LAN
192.168.51.232,40.99.111.34,65484,443,TCP,Microsoft,,1,66,1772215243,FORWARDED,USA
40.99.111.34,192.168.51.232,443,64755,TCP,Microsoft,,1,60,1772215243,FORWARDED,LAN
40.99.111.34,192.168.51.232,443,65484,TCP,Microsoft,,1,66,1772215243,FORWARDED,LAN
192.168.51.38,224.0.0.251,5353,5353,UDP,Unknown,,1,103,1772215243,FORWARDED,Unknown
23.48.244.41,192.168.51.232,443,56516,UDP,HTTPS,e86303.dscx.akamaiedge.net,50,28481,1772215243,FORWARDED,LAN
192.168.51.232,23.48.244.41,56516,443,UDP,HTTPS,e86303.dscx.akamaiedge.net,50,24526,1772215243,FORWARDED,Unknown
192.168.50.126,224.0.0.251,5353,5353,UDP,Unknown,,1,119,1772215243,FORWARDED,Unknown
192.168.51.198,224.0.0.251,5353,5353,UDP,Unknown,,1,119,1772215243,FORWARDED,Unknown
192.168.52.85,224.0.0.251,5353,5353,UDP,Unknown,,1,103,1772215243,FORWARDED,Unknown
192.168.52.164,224.0.0.251,5353,5353,UDP,Unknown,,1,292,1772215244,FORWARDED,Unknown
140.82.114.26,192.168.51.232,443,58964,TCP,HTTPS,,1,80,1772215244,FORWARDED,LAN
192.168.51.232,140.82.114.26,58964,443,TCP,HTTPS,,1,84,1772215244,FORWARDED,Unknown
192.168.51.232,185.60.219.60,63294,443,TCP,WhatsApp,,1,124,1772215245,FORWARDED,Unknown
192.168.51.95,192.168.55.255,57621,57621,UDP,Unknown,,1,82,1772215245,FORWARDED,LAN
185.60.219.60,192.168.51.232,443,63294,TCP,WhatsApp,,1,60,1772215245,FORWARDED,LAN
192.168.51.232,192.168.3.8,55472,53,UDP,DNS,,1,99,1772215246,FORWARDED,LAN
192.168.51.232,192.168.3.8,59577,53,UDP,DNS,,1,99,1772215246,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,55472,UDP,DNS,,1,156,1772215246,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,59577,UDP,DNS,,1,163,1772215246,FORWARDED,LAN
192.168.51.232,216.239.36.223,63275,443,TCP,Google,safebrowsingohttpgateway.googleapis.com,1,66,1772215246,FORWARDED,Unknown
192.168.51.232,192.168.3.8,54018,53,UDP,DNS,,1,94,1772215246,FORWARDED,LAN
192.168.51.232,192.168.3.8,55215,53,UDP,DNS,,1,86,1772215246,FORWARDED,LAN
192.168.51.232,192.168.3.8,62103,53,UDP,DNS,,1,94,1772215246,FORWARDED,LAN
192.168.51.232,192.168.3.8,61539,53,UDP,DNS,,1,86,1772215246,FORWARDED,LAN
192.168.51.232,192.168.3.8,60764,53,UDP,DNS,,1,76,1772215246,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,62103,UDP,DNS,,1,151,1772215246,FORWARDED,LAN
216.239.36.223,192.168.51.232,443,63275,TCP,Google,safebrowsingohttpgateway.googleapis.com,1,66,1772215246,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,54018,UDP,DNS,,1,158,1772215246,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,61539,UDP,DNS,,1,160,1772215246,FORWARDED,LAN
192.168.51.232,192.168.3.8,55534,53,UDP,DNS,,1,74,1772215246,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,55215,UDP,DNS,,1,366,1772215246,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,60764,UDP,DNS,,1,121,1772215246,FORWARDED,LAN
192.168.51.232,192.168.3.8,56813,53,UDP,DNS,,1,74,1772215246,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,55534,UDP,DNS,,1,96,1772215246,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,56813,UDP,DNS,,1,90,1772215246,FORWARDED,LAN
192.168.51.232,192.168.3.8,61450,53,UDP,DNS,,1,81,1772215246,FORWARDED,LAN
192.168.51.232,192.168.3.8,51889,53,UDP,DNS,,1,81,1772215246,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,51889,UDP,DNS,,1,138,1772215246,FORWARDED,LAN
192.168.51.232,192.168.3.8,62198,53,UDP,DNS,,1,79,1772215246,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,61450,UDP,DNS,,1,97,1772215246,FORWARDED,LAN
192.168.51.232,192.168.3.8,55170,53,UDP,DNS,,1,79,1772215246,FORWARDED,LAN
192.168.51.232,74.125.130.188,59413,5228,TCP,Unknown,,1,66,1772215246,FORWARDED,USA
192.168.3.8,192.168.51.232,53,62198,UDP,DNS,,1,129,1772215246,FORWARDED,LAN
192.168.51.232,172.217.26.14,51371,443,TCP,Google,android.l.google.com,1,66,1772215246,FORWARDED,USA
192.168.51.232,142.251.43.163,55521,443,TCP,Google,update.googleapis.com,1,66,1772215246,FORWARDED,Unknown
192.168.51.232,172.217.26.14,51028,443,TCP,Google,android.l.google.com,1,66,1772215246,FORWARDED,USA
192.168.51.232,216.239.32.223,60383,443,TCP,Google,oauthaccountmanager.googleapis.com,1,66,1772215246,FORWARDED,Unknown
192.168.3.8,192.168.51.232,53,55170,UDP,DNS,,1,95,1772215246,FORWARDED,LAN
192.168.51.232,142.250.193.100,52458,443,UDP,Google,www.google.com,1,1292,1772215246,FORWARDED,USA
192.168.51.232,192.178.211.84,55504,443,UDP,Google,accounts.google.com,1,1292,1772215246,FORWARDED,Unknown
192.168.51.232,192.178.211.84,55032,443,TCP,Google,accounts.google.com,1,66,1772215246,FORWARDED,Unknown
192.168.51.232,192.178.211.84,61652,443,TCP,Google,accounts.google.com,1,66,1772215246,FORWARDED,Unknown
216.239.32.223,192.168.51.232,443,60383,TCP,Google,oauthaccountmanager.googleapis.com,1,66,1772215246,FORWARDED,LAN
192.168.51.232,142.250.193.100,64367,443,TCP,Google,www.google.com,1,66,1772215246,FORWARDED,USA
192.178.211.84,192.168.51.232,443,55032,TCP,Google,accounts.google.com,1,66,1772215246,FORWARDED,LAN
192.178.211.84,192.168.51.232,443,55504,UDP,Google,accounts.google.com,1,82,1772215246,FORWARDED,LAN
192.178.211.84,192.168.51.232,443,61652,TCP,Google,accounts.google.com,1,66,1772215246,FORWARDED,LAN
172.217.26.14,192.168.51.232,443,51371,TCP,Google,android.l.google.com,1,66,1772215246,FORWARDED,LAN
142.250.193.100,192.168.51.232,443,64367,TCP,Google,www.google.com,1,66,1772215246,FORWARDED,LAN
142.251.43.163,192.168.51.232,443,55521,TCP,Google,update.googleapis.com,1,66,1772215246,FORWARDED,LAN
142.250.193.100,192.168.51.232,443,52458,UDP,Google,www.google.com,1,82,1772215246,FORWARDED,LAN
172.217.26.14,192.168.51.232,443,51028,TCP,Google,android.l.google.com,1,66,1772215246,FORWARDED,LAN
74.125.130.188,192.168.51.232,5228,59413,TCP,Unknown,,1,66,1772215246,FORWARDED,LAN
192.168.51.232,74.125.130.188,61410,5228,TCP,Unknown,,1,66,1772215246,FORWARDED,USA
74.125.130.188,192.168.51.232,5228,61410,TCP,Unknown,,1,66,1772215246,FORWARDED,LAN
192.168.51.81,224.0.0.251,5353,5353,UDP,Unknown,,1,119,1772215246,FORWARDED,Unknown
192.168.51.232,142.250.193.100,63610,443,UDP,Google,www.google.com,1,1292,1772215246,FORWARDED,USA
142.250.193.100,192.168.51.232,443,63610,UDP,Google,www.google.com,1,82,1772215246,FORWARDED,LAN
192.168.51.232,216.239.32.223,63526,443,UDP,Google,oauthaccountmanager.googleapis.com,1,1292,1772215246,FORWARDED,Unknown
216.239.32.223,192.168.51.232,443,63526,UDP,Google,oauthaccountmanager.googleapis.com,1,82,1772215246,FORWARDED,LAN
142.250.193.100,192.168.51.232,443,52458,UDP,Google,www.google.com,50,49824,1772215246,FORWARDED,LAN
192.168.50.221,224.0.0.251,5353,5353,UDP,Unknown,,1,129,1772215246,FORWARDED,Unknown
192.168.51.232,192.168.3.8,58139,53,UDP,DNS,,1,92,1772215246,FORWARDED,LAN
192.168.51.232,192.168.3.8,63565,53,UDP,DNS,,1,92,1772215246,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,58139,UDP,DNS,,1,149,1772215246,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,63565,UDP,DNS,,1,156,1772215246,FORWARDED,LAN
192.168.51.232,216.239.36.223,61431,443,UDP,Google,securitydomain-pa.googleapis.com,1,1292,1772215246,FORWARDED,Unknown
216.239.36.223,192.168.51.232,443,61431,UDP,Google,securitydomain-pa.googleapis.com,1,82,1772215246,FORWARDED,LAN
192.168.51.232,216.239.36.223,49670,443,TCP,Google,securitydomain-pa.googleapis.com,1,66,1772215246,FORWARDED,Unknown
216.239.36.223,192.168.51.232,443,49670,TCP,Google,securitydomain-pa.googleapis.com,1,66,1772215246,FORWARDED,LAN
192.168.51.232,192.168.3.8,52695,53,UDP,DNS,,1,88,1772215246,FORWARDED,LAN
192.168.51.232,192.168.3.8,64850,53,UDP,DNS,,1,88,1772215246,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,52695,UDP,DNS,,1,138,1772215246,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,64850,UDP,DNS,,1,104,1772215246,FORWARDED,LAN
192.168.51.232,142.250.76.74,65050,443,UDP,Google,ogads-pa.clients6.google.com,1,1292,1772215246,FORWARDED,USA
192.168.51.232,142.250.76.74,49956,443,TCP,Google,ogads-pa.clients6.google.com,1,66,1772215246,FORWARDED,USA
142.250.76.74,192.168.51.232,443,65050,UDP,Google,ogads-pa.clients6.google.com,1,82,1772215246,FORWARDED,LAN
142.250.76.74,192.168.51.232,443,49956,TCP,Google,ogads-pa.clients6.google.com,1,66,1772215246,FORWARDED,LAN
192.168.51.232,142.250.76.74,63562,443,UDP,Google,ogads-pa.clients6.google.com,1,1292,1772215246,FORWARDED,USA
142.250.76.74,192.168.51.232,443,63562,UDP,Google,ogads-pa.clients6.google.com,1,82,1772215246,FORWARDED,LAN
192.168.51.232,140.82.113.22,64399,443,TCP,HTTPS,,1,55,1772215247,FORWARDED,Unknown
192.168.52.67,239.255.255.250,43187,1900,UDP,Unknown,,1,167,1772215247,FORWARDED,Unknown
192.168.52.11,224.0.0.251,5353,5353,UDP,Unknown,,1,119,1772215247,FORWARDED,Unknown
140.82.113.22,192.168.51.232,443,64399,TCP,HTTPS,,1,66,1772215247,FORWARDED,LAN
192.168.51.232,192.168.3.8,56501,53,UDP,DNS,,1,75,1772215247,FORWARDED,LAN
192.168.51.232,192.168.3.8,53153,53,UDP,DNS,,1,75,1772215247,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,56501,UDP,DNS,,1,125,1772215247,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,53153,UDP,DNS,,1,91,1772215247,FORWARDED,LAN
192.168.51.232,142.250.182.14,55074,443,TCP,Google,play.google.com,1,66,1772215247,FORWARDED,USA
192.168.51.232,142.250.182.14,62246,443,UDP,Google,play.google.com,1,1292,1772215247,FORWARDED,USA
192.168.51.232,192.168.3.8,56684,53,UDP,DNS,,1,86,1772215247,FORWARDED,LAN
192.168.51.232,192.168.3.8,50196,53,UDP,DNS,,1,86,1772215247,FORWARDED,LAN
192.168.51.232,172.217.26.46,53397,443,UDP,Google,android.l.google.com,1,1292,1772215247,FORWARDED,USA
192.168.3.8,192.168.51.232,53,56684,UDP,DNS,,1,102,1772215247,FORWARDED,LAN
142.250.182.14,192.168.51.232,443,62246,UDP,Google,play.google.com,1,82,1772215247,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,50196,UDP,DNS,,1,143,1772215247,FORWARDED,LAN
142.250.182.14,192.168.51.232,443,55074,TCP,Google,play.google.com,1,66,1772215247,FORWARDED,LAN
172.217.26.46,192.168.51.232,443,53397,UDP,Google,encrypted-tbn0.gstatic.com,1,82,1772215247,FORWARDED,LAN
192.168.51.232,142.250.182.14,59899,443,UDP,Google,play.google.com,1,1292,1772215247,FORWARDED,USA
192.168.51.232,142.250.193.100,52458,443,UDP,Google,www.google.com,50,13247,1772215246,FORWARDED,USA
192.168.51.2,224.0.0.251,5353,5353,UDP,Unknown,,1,256,1772215247,FORWARDED,Unknown
142.250.182.14,192.168.51.232,443,59899,UDP,Google,play.google.com,1,82,1772215247,FORWARDED,LAN
192.168.50.193,239.255.255.250,41740,1900,UDP,Unknown,,1,179,1772215248,FORWARDED,Unknown
192.168.51.198,239.255.255.250,44088,1900,UDP,Unknown,,1,167,1772215248,FORWARDED,Unknown
192.168.50.238,224.0.0.251,5353,5353,UDP,Unknown,,1,119,1772215248,FORWARDED,Unknown
192.168.51.37,224.0.0.251,5353,5353,UDP,Unknown,,1,119,1772215249,FORWARDED,Unknown
192.168.52.64,192.168.55.255,57621,57621,UDP,Unknown,,1,82,1772215249,FORWARDED,LAN
192.168.51.232,20.42.73.31,53724,443,TCP,Microsoft,,1,55,1772215249,FORWARDED,USA
20.42.73.31,192.168.51.232,443,53724,TCP,Microsoft,,1,66,1772215250,FORWARDED,LAN
192.168.52.12,224.0.0.251,5353,5353,UDP,Unknown,,1,103,1772215250,FORWARDED,Unknown
192.168.51.232,192.168.3.8,63960,53,UDP,DNS,,1,74,1772215250,FORWARDED,LAN
192.168.51.232,192.168.3.8,52952,53,UDP,DNS,,1,74,1772215250,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,52952,UDP,DNS,,1,111,1772215250,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,63960,UDP,DNS,,1,95,1772215250,FORWARDED,LAN
192.168.51.232,172.217.26.110,64865,443,UDP,Google,www3.l.google.com,1,1292,1772215250,FORWARDED,USA
172.217.26.110,192.168.51.232,443,64865,UDP,Google,www3.l.google.com,1,82,1772215250,FORWARDED,LAN
192.168.51.232,172.217.26.110,65370,443,TCP,Google,www3.l.google.com,1,66,1772215250,FORWARDED,USA
172.217.26.110,192.168.51.232,443,65370,TCP,Google,www3.l.google.com,1,66,1772215250,FORWARDED,LAN
192.168.51.182,224.0.0.251,5353,5353,UDP,Unknown,,1,119,1772215250,FORWARDED,Unknown
192.168.50.193,224.0.0.251,5353,5353,UDP,Unknown,,1,87,1772215250,FORWARDED,Unknown
192.168.50.193,239.255.255.250,43948,1900,UDP,Unknown,,1,167,1772215250,FORWARDED,Unknown
192.168.50.193,192.168.55.255,57621,57621,UDP,Unknown,,1,82,1772215250,FORWARDED,LAN
192.168.51.232,192.168.3.8,55298,53,UDP,DNS,,1,75,1772215251,FORWARDED,LAN
192.168.51.232,192.168.3.8,54115,53,UDP,DNS,,1,75,1772215251,FORWARDED,LAN
192.168.51.232,192.168.3.8,62854,53,UDP,DNS,,1,75,1772215251,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,54115,UDP,DNS,,1,91,1772215251,FORWARDED,LAN
192.168.51.232,192.168.3.8,55042,53,UDP,DNS,,1,75,1772215251,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,62854,UDP,DNS,,1,91,1772215251,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,55298,UDP,DNS,,1,132,1772215251,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,55042,UDP,DNS,,1,132,1772215251,FORWARDED,LAN
192.168.51.232,142.251.43.163,58134,443,TCP,Google,ssl.gstatic.com,1,66,1772215251,FORWARDED,Unknown
192.168.51.232,142.250.182.195,54170,443,UDP,Google,www.gstatic.com,1,1292,1772215251,FORWARDED,USA
142.250.182.195,192.168.51.232,443,54170,UDP,Google,www.gstatic.com,1,82,1772215251,FORWARDED,LAN
142.251.43.163,192.168.51.232,443,58134,TCP,Google,ssl.gstatic.com,1,66,1772215251,FORWARDED,LAN
192.168.51.232,192.168.3.8,53183,53,UDP,DNS,,1,95,1772215251,FORWARDED,LAN
192.168.51.232,192.168.3.8,57954,53,UDP,DNS,,1,95,1772215251,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,53183,UDP,DNS,,1,152,1772215251,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,57954,UDP,DNS,,1,159,1772215251,FORWARDED,LAN
192.168.51.232,216.239.38.223,53515,443,UDP,Google,optimizationguide-pa.googleapis.com,1,1292,1772215251,FORWARDED,Unknown
216.239.38.223,192.168.51.232,443,53515,UDP,Google,optimizationguide-pa.googleapis.com,1,82,1772215251,FORWARDED,LAN
192.168.52.19,224.0.0.251,5353,5353,UDP,Unknown,,1,87,1772215251,FORWARDED,Unknown
192.168.52.92,239.255.255.250,40105,1900,UDP,Unknown,,1,179,1772215251,FORWARDED,Unknown
192.168.51.160,224.0.0.251,5353,5353,UDP,Unknown,,1,514,1772215252,FORWARDED,Unknown
192.168.51.163,224.0.0.251,5353,5353,UDP,Unknown,,1,119,1772215253,FORWARDED,Unknown
192.168.51.232,192.168.3.8,59540,53,UDP,DNS,,1,75,1772215253,FORWARDED,LAN
192.168.51.232,192.168.3.8,54131,53,UDP,DNS,,1,75,1772215253,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,59540,UDP,DNS,,1,124,1772215253,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,54131,UDP,DNS,,1,365,1772215253,FORWARDED,LAN
192.168.51.232,216.58.203.14,59187,443,UDP,Google,youtube-ui.l.google.com,1,1292,1772215253,FORWARDED,USA
216.58.203.14,192.168.51.232,443,59187,UDP,Google,youtube-ui.l.google.com,1,82,1772215253,FORWARDED,LAN
192.168.51.232,216.58.203.14,60116,443,TCP,Google,youtube-ui.l.google.com,1,66,1772215253,FORWARDED,USA
216.58.203.14,192.168.51.232,443,60116,TCP,Google,youtube-ui.l.google.com,1,66,1772215253,FORWARDED,LAN
192.168.51.232,140.82.112.21,58926,443,TCP,HTTPS,,1,55,1772215253,FORWARDED,Unknown
216.58.203.14,192.168.51.232,443,59187,UDP,Google,youtube-ui.l.google.com,50,55646,1772215253,FORWARDED,LAN
192.168.50.138,224.0.0.251,5353,5353,UDP,Unknown,,1,103,1772215253,FORWARDED,Unknown
192.168.3.8,192.168.51.232,53,64779,UDP,DNS,,1,128,1772215253,FORWARDED,LAN
192.168.51.232,192.168.3.8,64779,53,UDP,DNS,,1,71,1772215253,FORWARDED,LAN
192.168.51.232,192.168.3.8,59179,53,UDP,DNS,,1,71,1772215253,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,59179,UDP,DNS,,1,231,1772215253,FORWARDED,LAN
192.168.51.232,192.168.3.8,56752,53,UDP,DNS,,1,77,1772215253,FORWARDED,LAN
192.168.51.232,192.168.3.8,51349,53,UDP,DNS,,1,77,1772215253,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,56752,UDP,DNS,,1,99,1772215253,FORWARDED,LAN
192.168.51.232,74.125.68.119,53012,443,UDP,YouTube,i.ytimg.com,1,1292,1772215253,FORWARDED,USA
192.168.3.8,192.168.51.232,53,51349,UDP,DNS,,1,93,1772215253,FORWARDED,LAN
192.168.51.232,142.250.193.131,63854,443,UDP,Google,fonts.gstatic.com,1,1292,1772215253,FORWARDED,USA
140.82.112.21,192.168.51.232,443,58926,TCP,HTTPS,,1,60,1772215253,FORWARDED,LAN
142.250.193.131,192.168.51.232,443,63854,UDP,Google,fonts.gstatic.com,1,82,1772215253,FORWARDED,LAN
74.125.68.119,192.168.51.232,443,53012,UDP,YouTube,i.ytimg.com,1,82,1772215253,FORWARDED,LAN
192.168.51.232,192.168.3.8,60711,53,UDP,DNS,,1,74,1772215254,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,60711,UDP,DNS,,1,138,1772215254,FORWARDED,LAN
192.168.52.142,224.0.0.251,5353,5353,UDP,Unknown,,1,239,1772215254,FORWARDED,Unknown
192.168.51.182,192.168.55.255,57621,57621,UDP,Unknown,,1,82,1772215254,FORWARDED,LAN
0.0.0.0,255.255.255.255,68,67,UDP,Unknown,,1,342,1772215254,FORWARDED,Unknown
192.168.51.232,216.58.203.14,59187,443,UDP,Google,youtube-ui.l.google.com,50,9118,1772215253,FORWARDED,USA
216.58.203.14,192.168.51.232,443,59187,UDP,Google,youtube-ui.l.google.com,100,114176,1772215253,FORWARDED,LAN
216.58.203.14,192.168.51.232,443,59187,UDP,Google,youtube-ui.l.google.com,150,178776,1772215253,FORWARDED,LAN
192.168.51.232,192.168.3.8,50332,53,UDP,DNS,,1,79,1772215254,FORWARDED,LAN
192.168.51.232,192.168.3.8,60773,53,UDP,DNS,,1,79,1772215254,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,50332,UDP,DNS,,1,129,1772215254,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,60773,UDP,DNS,,1,95,1772215254,FORWARDED,LAN
192.168.51.232,192.178.211.84,60467,443,UDP,Google,accounts.google.com,1,1292,1772215254,FORWARDED,Unknown
192.178.211.84,192.168.51.232,443,60467,UDP,Google,accounts.google.com,1,82,1772215254,FORWARDED,LAN
192.168.51.182,239.255.255.250,34288,1900,UDP,Unknown,,1,167,1772215254,FORWARDED,Unknown
192.168.52.58,224.0.0.251,5353,5353,UDP,Unknown,,1,148,1772215254,FORWARDED,Unknown
192.168.51.232,192.168.3.8,50734,53,UDP,DNS,,1,80,1772215255,FORWARDED,LAN
192.168.51.232,192.168.3.8,58527,53,UDP,DNS,,1,80,1772215255,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,50734,UDP,DNS,,1,158,1772215255,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,58527,UDP,DNS,,1,124,1772215255,FORWARDED,LAN
192.168.51.232,172.217.26.110,65445,443,UDP,Google,www3.l.google.com,1,1292,1772215255,FORWARDED,USA
172.217.26.110,192.168.51.232,443,65445,UDP,Google,www3.l.google.com,1,82,1772215255,FORWARDED,LAN
192.168.51.232,192.168.3.8,58311,53,UDP,DNS,,1,87,1772215255,FORWARDED,LAN
192.168.51.232,192.168.3.8,51160,53,UDP,DNS,,1,87,1772215255,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,58311,UDP,DNS,,1,109,1772215255,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,51160,UDP,DNS,,1,103,1772215255,FORWARDED,LAN
192.168.51.232,142.250.67.66,58424,443,UDP,Google,googleads.g.doubleclick.net,1,1292,1772215255,FORWARDED,USA
192.168.51.232,142.250.67.66,61484,443,TCP,Google,googleads.g.doubleclick.net,1,66,1772215255,FORWARDED,USA
142.250.67.66,192.168.51.232,443,58424,UDP,Google,googleads.g.doubleclick.net,1,82,1772215255,FORWARDED,LAN
192.168.51.232,192.168.3.8,49196,53,UDP,DNS,,1,93,1772215255,FORWARDED,LAN
192.168.51.232,192.168.3.8,51656,53,UDP,DNS,,1,93,1772215255,FORWARDED,LAN
142.250.67.66,192.168.51.232,443,61484,TCP,Google,googleads.g.doubleclick.net,1,66,1772215255,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,49196,UDP,DNS,,1,138,1772215255,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,51656,UDP,DNS,,1,139,1772215255,FORWARDED,LAN
192.168.51.232,209.85.165.102,58734,443,UDP,Google,rr1.sn-q4flrn7r.googlevideo.com,1,1292,1772215255,FORWARDED,Unknown
192.168.3.8,192.168.51.232,53,55862,UDP,DNS,,1,155,1772215255,FORWARDED,LAN
192.168.51.232,192.168.3.8,64250,53,UDP,DNS,,1,91,1772215255,FORWARDED,LAN
192.168.51.232,192.168.3.8,55862,53,UDP,DNS,,1,91,1772215255,FORWARDED,LAN
192.168.51.232,216.239.32.223,51112,443,UDP,Google,content-autofill.googleapis.com,1,1292,1772215255,FORWARDED,Unknown
192.168.50.224,224.0.0.251,5353,5353,UDP,Unknown,,1,103,1772215255,FORWARDED,Unknown
192.168.3.8,192.168.51.232,53,64250,UDP,DNS,,1,148,1772215255,FORWARDED,LAN
216.239.32.223,192.168.51.232,443,51112,UDP,Google,content-autofill.googleapis.com,1,82,1772215255,FORWARDED,LAN
192.168.51.232,192.168.3.8,61566,53,UDP,DNS,,1,75,1772215255,FORWARDED,LAN
192.168.51.206,224.0.0.251,5353,5353,UDP,Unknown,,1,427,1772215255,FORWARDED,Unknown
192.168.51.232,192.168.3.8,53409,53,UDP,DNS,,1,75,1772215255,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,61566,UDP,DNS,,1,132,1772215255,FORWARDED,LAN
192.168.3.8,192.168.51.232,53,53409,UDP,DNS,,1,91,1772215255,FORWARDED,LAN
192.168.51.232,142.250.182.195,56278,443,UDP,Google,www.gstatic.com,1,1292,1772215255,FORWARDED,USA
192.168.51.232,142.250.182.195,60343,443,TCP,Google,www.gstatic.com,1,66,1772215255,FORWARDED,USA
